ds,y
2015-11-01,1835.4
2015-11-02,1835.4
2015-11-03,1824.1
2015-11-04,1825.5
2015-12-01,1818.5
2015-12-02,1814.7
2015-12-03,1805.4
2015-12-04,1795.1
2015-12-05,1788
2016-01-01,1779.5
2016-01-02,1771.4
2016-01-03,1759
2016-01-04,1747.4
2016-02-01,1735.7
2016-02-02,1730.9
2016-02-03,1721.6
2016-02-04,1712.4
2016-03-01,1710.2
2016-03-02,1712.5
2016-03-03,1718.2
2016-03-04,1727
2016-03-05,1724.1
2016-04-01,1721.7
2016-04-02,1720.1
2016-04-03,1718.8
2016-04-04,1720.9
2016-05-01,1728.6
2016-05-02,1736.7
2016-05-03,1745.3
2016-05-04,1762.6
2016-06-01,1778.6
2016-06-02,1784.8
2016-06-03,1785
2016-06-04,1786.4
2016-06-05,1785.8
2016-07-01,1785.3
2016-07-02,1783.6
2016-07-03,1777.2
2016-07-04,1770.2
2016-08-01,1766.1
2016-08-02,1758.4
2016-08-03,1756.6
2016-08-04,1757.3
2016-08-05,1762
2016-09-01,1763.2
2016-09-02,1759.7
2016-09-03,1759.5
2016-09-04,1759
2016-10-01,1758.5
2016-10-02,1763.3
2016-10-03,1769.4
2016-10-04,1776.2
2016-11-01,1774.4
2016-11-02,1775.4
2016-11-03,1767.8
2016-11-04,1764.9
2016-11-05,1768.6
2016-12-01,1778.6
2016-12-02,1790.1
2016-12-03,1801.3
2016-12-04,1810
2017-01-01,1824.1
2017-01-02,1838.3
2017-01-03,1841.8
2017-01-04,1842.5
2017-02-01,1842.4
2017-02-02,1843.8
2017-02-03,1841
2017-02-04,1842.8
2017-03-01,1842.9
2017-03-02,1841.5
2017-03-03,1837.1
2017-03-04,1830.6
2017-03-05,1822.4
2017-04-01,1818.2
2017-04-02,1818.8
2017-04-03,1821.1
2017-04-04,1823.1
2017-05-01,1819.7
2017-05-02,1815.7
2017-05-03,1811.7
2017-05-04,1811.6
2017-05-05,1810.8
2017-06-01,1807
2017-06-02,1801.3
2017-06-03,1796.2
2017-06-04,1790.9
2017-07-01,1788.5
2017-07-02,1789.5
2017-07-03,1789.6
2017-07-04,1789.2
2017-08-01,1790.1
2017-08-02,1796.2
2017-08-03,1806.3
2017-08-04,1810.6
2017-08-05,1812.3
2017-09-01,1814.5
2017-09-02,1819.4
2017-09-03,1825.6
2017-09-04,1828.5
2017-10-01,1833.8
2017-10-02,1834.6
2017-10-03,1835.8
2017-10-04,1836.7
2017-11-01,1836.7
2017-11-02,1840.5
2017-11-03,1847.7
2017-11-04,1852.9
2017-11-05,1852.9
2017-12-01,1855.1
2017-12-02,1855
2017-12-03,1855.7
2017-12-04,1856.3
2018-01-01,1856.9
2018-01-02,1856.8
2018-01-03,1859.7
2018-01-04,1862.8
2018-01-05,1865.2
2018-02-01,1868
2018-02-02,1869
2018-02-03,1866.2
2018-02-04,1866.2
2018-03-01,1863.9
2018-03-02,1863.1
2018-03-03,1859.8
2018-03-04,1858.6
2018-04-01,1858.8
2018-04-02,1859.1
2018-04-03,1859.4
2018-04-04,1861.3
2018-05-01,1864.7
2018-05-02,1867.5
2018-05-03,1875.2
2018-05-04,1884.4
2018-05-05,1895.6
2018-06-01,1899
2018-06-02,1898
2018-06-03,1897.8
2018-06-04,1896.7
2018-07-01,1898.2
2018-07-02,1897.6
2018-07-03,1898.7
2018-07-04,1898.8
2018-08-01,1901
2018-08-02,1902.9
2018-08-03,1904.6
2018-08-04,1906.1
2018-08-05,1905.7
2018-09-01,1909.8
2018-09-02,1915.3
2018-09-03,1922.4
2018-09-04,1926.9
2018-10-01,1933.5
2018-10-02,1944
2018-10-03,1952.4
2018-10-04,1954.2
2018-10-05,1954.3
2018-11-01,1906.5
2018-11-02,1853.4
2018-11-03,1838.1
2018-11-04,1821.9
2018-12-01,1802.8
2018-12-02,1786.2
2018-12-03,1771.1
2018-12-04,1751.5
2019-01-01,1734.6
2019-01-02,1721.5
2019-01-03,1713.4
2019-01-04,1710.9
2019-01-05,1707.3
2019-02-01,1704.6
2019-02-02,1702.1
2019-02-03,1702.1
2019-02-04,1703.4
2019-03-01,1704.5
2019-03-02,1707.1
2019-03-03,1717.1
2019-03-04,1724.5
2019-04-01,1730.1
2019-04-02,1741
2019-04-03,1751.3
2019-04-04,1765.5
2019-05-01,1778
2019-05-02,1802.3
2019-05-03,1822.8
2019-05-04,1830.2
2019-05-05,1833.3
2019-06-01,1831
2019-06-02,1825.1
2019-06-03,1813.4
2019-06-04,1806.2
2019-07-01,1803
2019-07-02,1800.7
2019-07-03,1799.1
2019-07-04,1798.9
2019-07-05,1798.2
2019-08-01,1798.3
2019-08-02,1795.7
2019-08-03,1795.5
2019-08-04,1798.7
2019-09-01,1818.8
2019-09-02,1821.8
2019-09-03,1825.8
2019-09-04,1834
2019-10-01,1835.9
2019-10-02,1832.2
2019-10-03,1829.1
2019-10-04,1827.5
2019-10-05,1825.5
2019-11-01,1822
2019-11-02,1819.5
2019-11-03,1820.7
2019-11-04,1821.4
2019-12-01,1822.2
2019-12-02,1822.2
2019-12-03,1824.1
2019-12-04,1825.4
2020-01-01,1827.8
2020-01-02,1832
2020-01-03,1835.7
2020-01-04,1833.7
2020-01-05,1831.9
2020-02-01,1827.9
2020-02-02,1820.2
2020-02-03,1812.8
2020-02-04,1807.9
2020-03-01,1800.9
2020-03-02,1790.2
2020-03-03,1768.6
2020-03-04,1739.4
2020-04-01,1709.2
2020-04-02,1677.2
2020-04-03,1653.8
2020-04-04,1628.2
2020-04-05,1602.3
2020-05-01,1585.8
2020-05-02,1577
2020-05-03,1574.9
2020-05-04,1580.6
2020-06-01,1588.5